a,eta_plus,eta_minus,lambda_plus,lambda_minus,gamma_plus,gamma_minus,rep,job,mu_exact,v_exact,mu_approx,v_approx
0.0,0.5,0.5,0.0,1.0,0.05,0.05,0,8,1.600756639924336,1.081084515387516,1.6007884399211563,1.35070077929235
0.1,0.55,0.45,0.1,0.9,0.05,0.05,0,8,1.583683741631626,1.0655946491267692,1.5319862968013704,1.0703813946764824
0.2,0.6,0.4,0.2,0.8,0.05,0.05,0,8,1.5779635922036408,1.1216906905138035,1.5233330476666953,1.034618490370291
0.30000000000000004,0.65,0.35,0.30000000000000004,0.7,0.05,0.05,0,8,1.5942021905797807,1.294218841980682,1.582672391732761,1.2680235731593545
0.4,0.7,0.3,0.4,0.6,0.05,0.05,0,8,1.6529546347045365,1.6661319357696969,1.7272537272746273,1.8643630768390551
0.5,0.75,0.25,0.5,0.5,0.05,0.05,0,8,1.7884048211595178,2.4214461336695994,1.9952180004781999,3.087138523764435
0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,0.3999999999999999,0.05,0.05,0,8,2.0748230925176907,4.054293098836928,2.4723543527645644,5.606900782422429
0.7000000000000001,0.8500000000000001,0.14999999999999997,0.7000000000000001,0.29999999999999993,0.05,0.05,0,8,2.581867041813296,7.412132070581311,3.1798156320184368,10.29242115600633
0.8,0.9,0.09999999999999998,0.8,0.19999999999999996,0.05,0.05,0,8,3.724216277578372,16.788059002035705,4.468469653153035,21.347834127344882
0.9,0.95,0.04999999999999999,0.9,0.09999999999999998,0.05,0.05,0,8,5.790916520908349,40.870443007355036,6.9180037581996245,52.18116644754162
1.0,1.0,0.0,1.0,0.0,0.05,0.05,0,8,10.387340661265934,124.61848133527863,10.569600493039951,125.65716373016778
