a,eta_plus,eta_minus,lambda_plus,lambda_minus,gamma_plus,gamma_minus,rep,job,mu_exact,v_exact,mu_approx,v_approx
0.0,0.5,0.5,0.0,1.0,0.05,0.05,0,6,1.600870689912931,1.0818492197140772,1.601123239887676,1.351568279175201
0.1,0.55,0.45,0.1,0.9,0.05,0.05,0,6,1.5822330917766907,1.064112536529365,1.5325112467488755,1.0700513367240014
0.2,0.6,0.4,0.2,0.8,0.05,0.05,0,6,1.5764800423519958,1.1201586155210554,1.526544147345585,1.0390314292680949
0.30000000000000004,0.65,0.35,0.30000000000000004,0.7,0.05,0.05,0,6,1.5941946405805356,1.2920885645897848,1.5828063417193659,1.2687718072081857
0.4,0.7,0.3,0.4,0.6,0.05,0.05,0,6,1.6616648338335165,1.686242735263757,1.718784778121522,1.8408415569914838
0.5,0.75,0.25,0.5,0.5,0.05,0.05,0,6,1.790876370912363,2.430411910342756,1.9864441013555898,3.0566017319333927
0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,0.3999999999999999,0.05,0.05,0,6,2.0925647907435208,4.14830014382777,2.394094260590574,5.233995774838963
0.7000000000000001,0.8500000000000001,0.14999999999999997,0.7000000000000001,0.29999999999999993,0.05,0.05,0,6,2.7460415753958425,8.500027312120357,3.1588641341135864,10.164682217900339
0.8,0.9,0.09999999999999998,0.8,0.19999999999999996,0.05,0.05,0,6,3.7190023280997675,16.802631420227534,4.284284521571548,19.728421379870934
0.9,0.95,0.04999999999999999,0.9,0.09999999999999998,0.05,0.05,0,6,6.1689882831011715,45.41454651586417,6.900615909938409,51.873645514290345
1.0,1.0,0.0,1.0,0.0,0.05,0.05,0,6,10.415369408463059,125.79944160731571,10.4966970003303,122.55664025952807
