a,eta_plus,eta_minus,lambda_plus,lambda_minus,gamma_plus,gamma_minus,rep,job,mu_exact,v_exact,mu_approx,v_approx
0.0,0.5,0.5,0.0,1.0,0.05,0.05,0,18,1.6017009398299058,1.0827528345281228,1.600518989948101,1.3496730216821051
0.1,0.55,0.45,0.1,0.9,0.05,0.05,0,18,1.5834813916518609,1.0657111749798371,1.5330933466906653,1.0714455481507397
0.2,0.6,0.4,0.2,0.8,0.05,0.05,0,18,1.5764052923594707,1.1207083436448526,1.5222941977705802,1.0338309903129645
0.30000000000000004,0.65,0.35,0.30000000000000004,0.7,0.05,0.05,0,18,1.594262140573786,1.2935055436153582,1.5794062920593708,1.2597610391747422
0.4,0.7,0.3,0.4,0.6,0.05,0.05,0,18,1.6525239347476064,1.6651708054856722,1.7280369271963072,1.8690740927273737
0.5,0.75,0.25,0.5,0.5,0.05,0.05,0,18,1.7926009207399076,2.439104273710201,1.9731674026832597,3.004674011181837
0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,0.3999999999999999,0.05,0.05,0,18,2.114710038528996,4.258336229911214,2.3849098115090186,5.216083650580172
0.7000000000000001,0.8500000000000001,0.14999999999999997,0.7000000000000001,0.29999999999999993,0.05,0.05,0,18,2.6415875858412416,7.815181897012756,3.2041986795801316,10.470072548080767
0.8,0.9,0.09999999999999998,0.8,0.19999999999999996,0.05,0.05,0,18,3.831927216807278,17.881692248555783,4.374881612511839,20.57836225471068
0.9,0.95,0.04999999999999999,0.9,0.09999999999999998,0.05,0.05,0,18,6.217199678280032,47.29966446507103,6.772007722799227,50.43646607269216
1.0,1.0,0.0,1.0,0.0,0.05,0.05,0,18,11.582169441783055,153.9363574135261,11.673241132675887,154.10800952114698
