a,eta_plus,eta_minus,lambda_plus,lambda_minus,gamma_plus,gamma_minus,rep,job,mu_exact,v_exact,mu_approx,v_approx
0.0,0.5,0.5,0.0,1.0,0.05,0.05,0,19,1.6005158899484109,1.0812756717299679,1.599798740020126,1.3483803006563866
0.1,0.55,0.45,0.1,0.9,0.05,0.05,0,19,1.5851267914873208,1.0672156469248524,1.5320569967943,1.0712858667251797
0.2,0.6,0.4,0.2,0.8,0.05,0.05,0,19,1.5768595923140407,1.1216057153180086,1.5231351476864852,1.0343528864527127
0.30000000000000004,0.65,0.35,0.30000000000000004,0.7,0.05,0.05,0,19,1.5917771908222809,1.2888549425169713,1.585024991497501,1.2702550480724204
0.4,0.7,0.3,0.4,0.6,0.05,0.05,0,19,1.6551335844866417,1.6690531266523698,1.7202498779750124,1.8460240267985881
0.5,0.75,0.25,0.5,0.5,0.05,0.05,0,19,1.789438871056113,2.4224770142965752,1.9784176521582346,3.031423249072733
0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,0.3999999999999999,0.05,0.05,0,19,2.102291789770821,4.196039469095175,2.378618162138184,5.159776156986316
0.7000000000000001,0.8500000000000001,0.14999999999999997,0.7000000000000001,0.29999999999999993,0.05,0.05,0,19,2.6129753387024666,7.593342537234462,3.104668839533116,9.857285497206687
0.8,0.9,0.09999999999999998,0.8,0.19999999999999996,0.05,0.05,0,19,3.7880958211904177,17.26875078763762,4.437295206270479,21.195301813919972
0.9,0.95,0.04999999999999999,0.9,0.09999999999999998,0.05,0.05,0,19,5.833156216684378,42.64194818499042,6.434895556510444,45.598302776183786
1.0,1.0,0.0,1.0,0.0,0.05,0.05,0,19,10.90823330917667,135.59493671411957,10.451947554805246,124.36043395123649
