a,eta_plus,eta_minus,lambda_plus,lambda_minus,gamma_plus,gamma_minus,rep,job,mu_exact,v_exact,mu_approx,v_approx
0.0,0.5,0.5,0.0,1.0,0.05,0.05,0,15,1.601247389875261,1.0827246817458756,1.600004839999516,1.3497700209995727
0.1,0.55,0.45,0.1,0.9,0.05,0.05,0,15,1.5857953414204657,1.068329876821474,1.5305325969467403,1.0696862784618362
0.2,0.6,0.4,0.2,0.8,0.05,0.05,0,15,1.5772381422761859,1.1212547816556717,1.5259187474081253,1.0377640396892116
0.30000000000000004,0.65,0.35,0.30000000000000004,0.7,0.05,0.05,0,15,1.592877440712256,1.2915581759883028,1.5873984912601509,1.2766723002943698
0.4,0.7,0.3,0.4,0.6,0.05,0.05,0,15,1.6565967343403267,1.67304211803748,1.7252433774756621,1.8591834549115527
0.5,0.75,0.25,0.5,0.5,0.05,0.05,0,15,1.8023010197698979,2.4712281621846737,1.9709638529036146,3.001217351955752
0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,0.3999999999999999,0.05,0.05,0,15,2.101049739895026,4.186770180369026,2.4383624561637545,5.443706593439256
0.7000000000000001,0.8500000000000001,0.14999999999999997,0.7000000000000001,0.29999999999999993,0.05,0.05,0,15,2.6287581871241814,7.722530280337599,3.2750498724950132,10.908733869201845
0.8,0.9,0.09999999999999998,0.8,0.19999999999999996,0.05,0.05,0,15,3.8603877639612234,18.006021370996955,4.54274519572548,22.06340086671959
0.9,0.95,0.04999999999999999,0.9,0.09999999999999998,0.05,0.05,0,15,5.803193669680633,40.60020375445259,6.702353329764668,49.09220404161806
1.0,1.0,0.0,1.0,0.0,0.05,0.05,0,15,10.62081358791864,128.7706754234471,10.611339738866025,126.48486413782318
