a,eta_plus,eta_minus,lambda_plus,lambda_minus,gamma_plus,gamma_minus,rep,job,mu_exact,v_exact,mu_approx,v_approx
0.0,0.5,0.5,0.0,1.0,0.05,0.05,0,20,1.600217989978201,1.080851470395218,1.6023919397608062,1.3535840792652003
0.1,0.55,0.45,0.1,0.9,0.05,0.05,0,20,1.5863594913640509,1.0679153557140104,1.5315087968491203,1.0702962135922194
0.2,0.6,0.4,0.2,0.8,0.05,0.05,0,20,1.5761409423859059,1.119459969366845,1.5204751479524854,1.0314571901286813
0.30000000000000004,0.65,0.35,0.30000000000000004,0.7,0.05,0.05,0,20,1.5945903905409606,1.2934648527760895,1.5786018921398108,1.258943441039872
0.4,0.7,0.3,0.4,0.6,0.05,0.05,0,20,1.6546041845395816,1.6681572019168853,1.7161310283868971,1.8365537152417897
0.5,0.75,0.25,0.5,0.5,0.05,0.05,0,20,1.7862455213754478,2.413606876938161,1.99459530054047,3.080505881170244
0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,0.3999999999999999,0.05,0.05,0,20,2.0700288929971107,4.03623155003204,2.4483210051679,5.479601058265965
0.7000000000000001,0.8500000000000001,0.14999999999999997,0.7000000000000001,0.29999999999999993,0.05,0.05,0,20,2.6421286857871316,7.831827976473569,3.1086128391387158,9.831331916861364
0.8,0.9,0.09999999999999998,0.8,0.19999999999999996,0.05,0.05,0,20,4.050321644967835,19.818706599923843,4.144694085530592,18.751296744389148
0.9,0.95,0.04999999999999999,0.9,0.09999999999999998,0.05,0.05,0,20,6.321303667869634,47.93384374930553,7.056278844372116,54.500633891296026
1.0,1.0,0.0,1.0,0.0,0.05,0.05,0,20,10.786864271313572,132.6382848427862,11.215690528430947,141.30410111088275
