a,eta_plus,eta_minus,lambda_plus,lambda_minus,gamma_plus,gamma_minus,rep,job,mu_exact,v_exact,mu_approx,v_approx
0.0,0.5,0.5,0.0,1.0,0.05,0.05,0,5,1.6026722397327762,1.0833947267946233,1.599899940010006,1.350888190899178
0.1,0.55,0.45,0.1,0.9,0.05,0.05,0,5,1.583631941636806,1.0652554161130858,1.5317444968255503,1.0702264047978813
0.2,0.6,0.4,0.2,0.8,0.05,0.05,0,5,1.5760868423913155,1.1197154048644582,1.5228644977135501,1.0335794363340849
0.30000000000000004,0.65,0.35,0.30000000000000004,0.7,0.05,0.05,0,5,1.5931240906875908,1.2902656988398302,1.5771019422898056,1.2569831892023497
0.4,0.7,0.3,0.4,0.6,0.05,0.05,0,5,1.6561657843834217,1.672877903061345,1.7223598277640173,1.8519094418614235
0.5,0.75,0.25,0.5,0.5,0.05,0.05,0,5,1.7938507206149281,2.4440056259586993,1.9732700526729947,3.0087176589726807
0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,0.3999999999999999,0.05,0.05,0,5,2.0874192912580707,4.1178123549704875,2.382865661713434,5.193647451057378
0.7000000000000001,0.8500000000000001,0.14999999999999997,0.7000000000000001,0.29999999999999993,0.05,0.05,0,5,2.6192282880771716,7.651954873705159,3.1500559349944064,10.139453550175919
0.8,0.9,0.09999999999999998,0.8,0.19999999999999996,0.05,0.05,0,5,3.8359181164081884,17.813578251426847,4.669527983047201,23.350577950032186
0.9,0.95,0.04999999999999999,0.9,0.09999999999999998,0.05,0.05,0,5,5.7273640772635925,40.22940657325998,7.221407477859253,57.2128098025649
1.0,1.0,0.0,1.0,0.0,0.05,0.05,0,5,9.956995504300451,114.15533019763163,9.92701690729831,112.40061412758563
