a,eta_plus,eta_minus,lambda_plus,lambda_minus,gamma_plus,gamma_minus,rep,job,mu_exact,v_exact,mu_approx,v_approx
0.0,0.5,0.5,0.0,1.0,0.05,0.05,0,1,1.599453140054686,1.0800687889372913,1.6012908898709108,1.349702844632891
0.1,0.55,0.45,0.1,0.9,0.05,0.05,0,1,1.582443241755676,1.0644586297632634,1.531748246825175,1.0699875667239764
0.2,0.6,0.4,0.2,0.8,0.05,0.05,0,1,1.578626292137371,1.1227625182902674,1.5270927472907252,1.0396677040040685
0.30000000000000004,0.65,0.35,0.30000000000000004,0.7,0.05,0.05,0,1,1.594236990576301,1.2928168844373724,1.5875523412447656,1.2768062840953913
0.4,0.7,0.3,0.4,0.6,0.05,0.05,0,1,1.6516397348360266,1.662089547310444,1.7347958765204123,1.881253327730768
0.5,0.75,0.25,0.5,0.5,0.05,0.05,0,1,1.7835458216454176,2.4067761433099877,1.98017810198219,3.033815988938081
0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,0.3999999999999999,0.05,0.05,0,1,2.0572833442716654,3.977215070419409,2.4312451068754894,5.406205048578207
0.7000000000000001,0.8500000000000001,0.14999999999999997,0.7000000000000001,0.29999999999999993,0.05,0.05,0,1,2.704210579578942,8.236970636320772,3.2274699272530074,10.632424813778773
0.8,0.9,0.09999999999999998,0.8,0.19999999999999996,0.05,0.05,0,1,3.6296590870340912,15.968406847627653,4.47581430241857,21.490950127878985
0.9,0.95,0.04999999999999999,0.9,0.09999999999999998,0.05,0.05,0,1,6.376248912375108,48.68458362332187,6.803352819664718,50.69514501308466
1.0,1.0,0.0,1.0,0.0,0.05,0.05,0,1,10.01305769869423,116.77480921900685,10.350846364915363,119.03291091262527
