a,eta_plus,eta_minus,lambda_plus,lambda_minus,gamma_plus,gamma_minus,rep,job,mu_exact,v_exact,mu_approx,v_approx
0.0,0.5,0.5,0.0,1.0,0.05,0.05,0,16,1.600671039932896,1.0814985575555078,1.599533240046676,1.3467630234588222
0.1,0.55,0.45,0.1,0.9,0.05,0.05,0,16,1.584321091567891,1.0661110711946873,1.5329866467013353,1.0715967988709094
0.2,0.6,0.4,0.2,0.8,0.05,0.05,0,16,1.5780578421942157,1.1230827853544016,1.5246757475324253,1.0367348287493434
0.30000000000000004,0.65,0.35,0.30000000000000004,0.7,0.05,0.05,0,16,1.593045090695491,1.2902230062094282,1.5851199414880057,1.271160692720469
0.4,0.7,0.3,0.4,0.6,0.05,0.05,0,16,1.6535078846492115,1.6658246854115895,1.7180668281933171,1.8403776946486228
0.5,0.75,0.25,0.5,0.5,0.05,0.05,0,16,1.8008561699143832,2.4687385340991495,1.9806954519304547,3.043502780036287
0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,0.3999999999999999,0.05,0.05,0,16,2.1539260846073915,4.461715211936593,2.449210155078984,5.512373565157583
0.7000000000000001,0.8500000000000001,0.14999999999999997,0.7000000000000001,0.29999999999999993,0.05,0.05,0,16,2.667238883276111,7.962113181912359,3.0820863917913606,9.692817154327143
0.8,0.9,0.09999999999999998,0.8,0.19999999999999996,0.05,0.05,0,16,3.6346692365330764,16.023626617555355,4.354216414578358,20.62646410644992
0.9,0.95,0.04999999999999999,0.9,0.09999999999999998,0.05,0.05,0,16,6.062423493757651,44.19030038800738,6.632035736796427,48.35918655154662
1.0,1.0,0.0,1.0,0.0,0.05,0.05,0,16,10.250853674914634,120.84188494330054,11.766461523353847,156.35750243872155
