a,eta_plus,eta_minus,lambda_plus,lambda_minus,gamma_plus,gamma_minus,rep,job,mu_exact,v_exact,mu_approx,v_approx
0.0,0.5,0.5,0.0,1.0,0.05,0.05,0,0,1.600168389983161,1.0816173094830792,1.602651989734801,1.3539943575503077
0.1,0.55,0.45,0.1,0.9,0.05,0.05,0,0,1.5843989415601056,1.0662405363271623,1.5316516468348353,1.069877391164721
0.2,0.6,0.4,0.2,0.8,0.05,0.05,0,0,1.5764666423533358,1.121112364911256,1.5236280976371903,1.0342310345231152
0.30000000000000004,0.65,0.35,0.30000000000000004,0.7,0.05,0.05,0,0,1.5927205907279407,1.2910067870946729,1.5835078416492159,1.2678540379003294
0.4,0.7,0.3,0.4,0.6,0.05,0.05,0,0,1.6532872846712712,1.6669344643149642,1.7291945270805473,1.8705991014433998
0.5,0.75,0.25,0.5,0.5,0.05,0.05,0,0,1.7885133211486677,2.4177897384167983,1.9824727017527297,3.0367727901081514
0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,0.3999999999999999,0.05,0.05,0,0,2.065479593452041,4.013222321090365,2.384443761555624,5.192214160199845
0.7000000000000001,0.8500000000000001,0.14999999999999997,0.7000000000000001,0.29999999999999993,0.05,0.05,0,0,2.702966679703332,8.198372527973406,3.2431738256826175,10.746853059904224
0.8,0.9,0.09999999999999998,0.8,0.19999999999999996,0.05,0.05,0,0,3.931771556822844,18.668030062273104,4.413409508659049,20.939042417155303
0.9,0.95,0.04999999999999999,0.9,0.09999999999999998,0.05,0.05,0,0,6.119282288071771,44.85521154880839,7.49279930072007,63.840490490875645
1.0,1.0,0.0,1.0,0.0,0.05,0.05,0,0,9.860748313925168,115.27525653846057,10.94646160535384,134.52267738774435
